pre,id,Cuenta,Lenloc_Label,Lenloc_context0,Lenloc_context1,Lenloc_context2,Lenloc_context3
L_G,1,GASTOS DE PERSONAL,lenloc2-econ-gast-cuentas:GastosDePersonal,lenloc2-econ-gast-importes:CreditosDefinitivosDelEjercicioCorriente,lenloc2-econ-gast-importes:ObligacionesReconocidasDelEjercicioCorriente,lenloc2-econ-gast-importes:PagosRealizadosDelEjercicioCorriente,lenloc2-econ-gast-importes:PagosLiquidosDeEjerciciosCerrados
L_G,10,Órganos de gobierno y personal directivo,lenloc2-econ-gast-cuentas:OrganosDeGobiernoYPersonalDirectivo,lenloc2-econ-gast-importes:CreditosDefinitivosDelEjercicioCorriente,lenloc2-econ-gast-importes:ObligacionesReconocidasDelEjercicioCorriente,lenloc2-econ-gast-importes:PagosRealizadosDelEjercicioCorriente,lenloc2-econ-gast-importes:PagosLiquidosDeEjerciciosCerrados
L_G,100,Retribuciones básicas y otras remuneraciones de los miembros de los órganos de gobierno,lenloc2-econ-gast-cuentas:RetribucionesBasicasYOtrasRemuneracionesDeLosMiembrosDeLosOrganosDeGobierno,lenloc2-econ-gast-importes:CreditosDefinitivosDelEjercicioCorriente,lenloc2-econ-gast-importes:ObligacionesReconocidasDelEjercicioCorriente,lenloc2-econ-gast-importes:PagosRealizadosDelEjercicioCorriente,lenloc2-econ-gast-importes:PagosLiquidosDeEjerciciosCerrados
L_G,100.00,Retribuciones básicas,lenloc2-econ-gast-cuentas:OrganosDeGobiernoYPersonalDirectivo_RetribucionesBasicasYOtrasRemuneracionesDeLosMiembrosDeLosOrganosDeGobierno_RetribucionesBasicas,lenloc2-econ-gast-importes:CreditosDefinitivosDelEjercicioCorriente,lenloc2-econ-gast-importes:ObligacionesReconocidasDelEjercicioCorriente,lenloc2-econ-gast-importes:PagosRealizadosDelEjercicioCorriente,lenloc2-econ-gast-importes:PagosLiquidosDeEjerciciosCerrados
L_G,100.01,Otras remuneraciones,lenloc2-econ-gast-cuentas:OrganosDeGobiernoYPersonalDirectivo_RetribucionesBasicasYOtrasRemuneracionesDeLosMiembrosDeLosOrganosDeGobierno_OtrasRemuneraciones,lenloc2-econ-gast-importes:CreditosDefinitivosDelEjercicioCorriente,lenloc2-econ-gast-importes:ObligacionesReconocidasDelEjercicioCorriente,lenloc2-econ-gast-importes:PagosRealizadosDelEjercicioCorriente,lenloc2-econ-gast-importes:PagosLiquidosDeEjerciciosCerrados
L_G,101,Retribuciones básicas y otras remuneraciones del personal directivo,lenloc2-econ-gast-cuentas:RetribucionesBasicasYOtrasRemuneracionesDelPersonalDirectivo,lenloc2-econ-gast-importes:CreditosDefinitivosDelEjercicioCorriente,lenloc2-econ-gast-importes:ObligacionesReconocidasDelEjercicioCorriente,lenloc2-econ-gast-importes:PagosRealizadosDelEjercicioCorriente,lenloc2-econ-gast-importes:PagosLiquidosDeEjerciciosCerrados
L_G,101.00,Retribuciones básicas,lenloc2-econ-gast-cuentas:OrganosDeGobiernoYPersonalDirectivo_RetribucionesBasicasYOtrasRemuneracionesDelPersonalDirectivo_RetribucionesBasicas,lenloc2-econ-gast-importes:CreditosDefinitivosDelEjercicioCorriente,lenloc2-econ-gast-importes:ObligacionesReconocidasDelEjercicioCorriente,lenloc2-econ-gast-importes:PagosRealizadosDelEjercicioCorriente,lenloc2-econ-gast-importes:PagosLiquidosDeEjerciciosCerrados
L_G,101.01,Otras remuneraciones,lenloc2-econ-gast-cuentas:OrganosDeGobiernoYPersonalDirectivo_RetribucionesBasicasYOtrasRemuneracionesDelPersonalDirectivo_OtrasRemuneraciones,lenloc2-econ-gast-importes:CreditosDefinitivosDelEjercicioCorriente,lenloc2-econ-gast-importes:ObligacionesReconocidasDelEjercicioCorriente,lenloc2-econ-gast-importes:PagosRealizadosDelEjercicioCorriente,lenloc2-econ-gast-importes:PagosLiquidosDeEjerciciosCerrados
L_G,107,Contribuciones a planes y fondos de pensiones,lenloc2-econ-gast-cuentas:OrganosDeGobiernoYPersonalDirectivo_ContribucionesAPlanesYFondosDePensiones,lenloc2-econ-gast-importes:CreditosDefinitivosDelEjercicioCorriente,lenloc2-econ-gast-importes:ObligacionesReconocidasDelEjercicioCorriente,lenloc2-econ-gast-importes:PagosRealizadosDelEjercicioCorriente,lenloc2-econ-gast-importes:PagosLiquidosDeEjerciciosCerrados
L_G,107.00,De los miembros de los órganos de gobierno,lenloc2-econ-gast-cuentas:GastosDePersonal_OrganosDeGobiernoYPersonalDirectivo_ContribucionesAPlanesYFondosDePensiones_DeLosMiembrosDeLosOrganosDeGobierno,lenloc2-econ-gast-importes:CreditosDefinitivosDelEjercicioCorriente,lenloc2-econ-gast-importes:ObligacionesReconocidasDelEjercicioCorriente,lenloc2-econ-gast-importes:PagosRealizadosDelEjercicioCorriente,lenloc2-econ-gast-importes:PagosLiquidosDeEjerciciosCerrados
