pre,id,Cuenta,Lenloc_Label,Lenloc_context0,Lenloc_context1,Lenloc_context2,Lenloc_context3,Lenloc_context4,Lenloc_context5,Lenloc_context6,Lenloc_context7
L_PR,0,DEUDA PÚBLICA,lenloc2-prog-cuentas:DeudaPublica,lenloc2-econ-gast-cuentas:GastosDePersonal,lenloc2-econ-gast-cuentas:GastosCorrientesEnBienesYServicios,lenloc2-econ-gast-cuentas:GastosFinancieros,lenloc2-econ-gast-cuentas:TransferenciasCorrientes,lenloc2-econ-gast-cuentas:InversionesReales,lenloc2-econ-gast-cuentas:EconomicaGastos_TransferenciasDeCapital,lenloc2-econ-gast-cuentas:EconomicaGastos_ActivosFinancieros,lenloc2-econ-gast-cuentas:EconomicaGastos_PasivosFinancieros
L_PR,01,Deuda Pública,lenloc2-prog-cuentas:DeudaPublica_DeudaPublica,lenloc2-econ-gast-cuentas:GastosDePersonal,lenloc2-econ-gast-cuentas:GastosCorrientesEnBienesYServicios,lenloc2-econ-gast-cuentas:GastosFinancieros,lenloc2-econ-gast-cuentas:TransferenciasCorrientes,lenloc2-econ-gast-cuentas:InversionesReales,lenloc2-econ-gast-cuentas:EconomicaGastos_TransferenciasDeCapital,lenloc2-econ-gast-cuentas:EconomicaGastos_ActivosFinancieros,lenloc2-econ-gast-cuentas:EconomicaGastos_PasivosFinancieros
L_PR,011,Deuda Pública,lenloc2-prog-cuentas:DeudaPublica_DeudaPublica_DeudaPublica,lenloc2-econ-gast-cuentas:GastosDePersonal,lenloc2-econ-gast-cuentas:GastosCorrientesEnBienesYServicios,lenloc2-econ-gast-cuentas:GastosFinancieros,lenloc2-econ-gast-cuentas:TransferenciasCorrientes,lenloc2-econ-gast-cuentas:InversionesReales,lenloc2-econ-gast-cuentas:EconomicaGastos_TransferenciasDeCapital,lenloc2-econ-gast-cuentas:EconomicaGastos_ActivosFinancieros,lenloc2-econ-gast-cuentas:EconomicaGastos_PasivosFinancieros
L_PR,1,SERVICIOS PÚBLICOS BÁSICOS,lenloc2-prog-cuentas:ServiciosPublicosBasicos,lenloc2-econ-gast-cuentas:GastosDePersonal,lenloc2-econ-gast-cuentas:GastosCorrientesEnBienesYServicios,lenloc2-econ-gast-cuentas:GastosFinancieros,lenloc2-econ-gast-cuentas:TransferenciasCorrientes,lenloc2-econ-gast-cuentas:InversionesReales,lenloc2-econ-gast-cuentas:EconomicaGastos_TransferenciasDeCapital,lenloc2-econ-gast-cuentas:EconomicaGastos_ActivosFinancieros,lenloc2-econ-gast-cuentas:EconomicaGastos_PasivosFinancieros
L_PR,13,Seguridad y movilidad ciudadana,lenloc2-prog-cuentas:SeguridadYMovilidadCiudadana,lenloc2-econ-gast-cuentas:GastosDePersonal,lenloc2-econ-gast-cuentas:GastosCorrientesEnBienesYServicios,lenloc2-econ-gast-cuentas:GastosFinancieros,lenloc2-econ-gast-cuentas:TransferenciasCorrientes,lenloc2-econ-gast-cuentas:InversionesReales,lenloc2-econ-gast-cuentas:EconomicaGastos_TransferenciasDeCapital,lenloc2-econ-gast-cuentas:EconomicaGastos_ActivosFinancieros,lenloc2-econ-gast-cuentas:EconomicaGastos_PasivosFinancieros
L_PR,130,Administración General de la Seguridad y Protección Civil,lenloc2-prog-cuentas:AdministracionGeneralDeLaSeguridadYProteccionCivil,lenloc2-econ-gast-cuentas:GastosDePersonal,lenloc2-econ-gast-cuentas:GastosCorrientesEnBienesYServicios,lenloc2-econ-gast-cuentas:GastosFinancieros,lenloc2-econ-gast-cuentas:TransferenciasCorrientes,lenloc2-econ-gast-cuentas:InversionesReales,lenloc2-econ-gast-cuentas:EconomicaGastos_TransferenciasDeCapital,lenloc2-econ-gast-cuentas:EconomicaGastos_ActivosFinancieros,lenloc2-econ-gast-cuentas:EconomicaGastos_PasivosFinancieros
L_PR,132,Seguridad y Orden Público,lenloc2-prog-cuentas:SeguridadYOrdenPublico,lenloc2-econ-gast-cuentas:GastosDePersonal,lenloc2-econ-gast-cuentas:GastosCorrientesEnBienesYServicios,lenloc2-econ-gast-cuentas:GastosFinancieros,lenloc2-econ-gast-cuentas:TransferenciasCorrientes,lenloc2-econ-gast-cuentas:InversionesReales,lenloc2-econ-gast-cuentas:EconomicaGastos_TransferenciasDeCapital,lenloc2-econ-gast-cuentas:EconomicaGastos_ActivosFinancieros,lenloc2-econ-gast-cuentas:EconomicaGastos_PasivosFinancieros
L_PR,133,Ordenación del tráfico y del estacionamiento,lenloc2-prog-cuentas:OrdenacionDelTraficoYDelEstacionamiento,lenloc2-econ-gast-cuentas:GastosDePersonal,lenloc2-econ-gast-cuentas:GastosCorrientesEnBienesYServicios,lenloc2-econ-gast-cuentas:GastosFinancieros,lenloc2-econ-gast-cuentas:TransferenciasCorrientes,lenloc2-econ-gast-cuentas:InversionesReales,lenloc2-econ-gast-cuentas:EconomicaGastos_TransferenciasDeCapital,lenloc2-econ-gast-cuentas:EconomicaGastos_ActivosFinancieros,lenloc2-econ-gast-cuentas:EconomicaGastos_PasivosFinancieros
L_PR,134,Protección civil,lenloc2-prog-cuentas:ProteccionCivil,lenloc2-econ-gast-cuentas:GastosDePersonal,lenloc2-econ-gast-cuentas:GastosCorrientesEnBienesYServicios,lenloc2-econ-gast-cuentas:GastosFinancieros,lenloc2-econ-gast-cuentas:TransferenciasCorrientes,lenloc2-econ-gast-cuentas:InversionesReales,lenloc2-econ-gast-cuentas:EconomicaGastos_TransferenciasDeCapital,lenloc2-econ-gast-cuentas:EconomicaGastos_ActivosFinancieros,lenloc2-econ-gast-cuentas:EconomicaGastos_PasivosFinancieros
L_PR,135,Servicio de extinción de incendios,lenloc2-prog-cuentas:ServicioDeExtincionDeIncendios,lenloc2-econ-gast-cuentas:GastosDePersonal,lenloc2-econ-gast-cuentas:GastosCorrientesEnBienesYServicios,lenloc2-econ-gast-cuentas:GastosFinancieros,lenloc2-econ-gast-cuentas:TransferenciasCorrientes,lenloc2-econ-gast-cuentas:InversionesReales,lenloc2-econ-gast-cuentas:EconomicaGastos_TransferenciasDeCapital,lenloc2-econ-gast-cuentas:EconomicaGastos_ActivosFinancieros,lenloc2-econ-gast-cuentas:EconomicaGastos_PasivosFinancieros
L_PR,15,Vivienda y urbanismo,lenloc2-prog-cuentas:ViviendaYUrbanismo,lenloc2-econ-gast-cuentas:GastosDePersonal,lenloc2-econ-gast-cuentas:GastosCorrientesEnBienesYServicios,lenloc2-econ-gast-cuentas:GastosFinancieros,lenloc2-econ-gast-cuentas:TransferenciasCorrientes,lenloc2-econ-gast-cuentas:InversionesReales,lenloc2-econ-gast-cuentas:EconomicaGastos_TransferenciasDeCapital,lenloc2-econ-gast-cuentas:EconomicaGastos_ActivosFinancieros,lenloc2-econ-gast-cuentas:EconomicaGastos_PasivosFinancieros
L_PR,150,Administración General de Vivienda y urbanismo,lenloc2-prog-cuentas:AdministracionGeneralDeViviendaYUrbanismo,lenloc2-econ-gast-cuentas:GastosDePersonal,lenloc2-econ-gast-cuentas:GastosCorrientesEnBienesYServicios,lenloc2-econ-gast-cuentas:GastosFinancieros,lenloc2-econ-gast-cuentas:TransferenciasCorrientes,lenloc2-econ-gast-cuentas:InversionesReales,lenloc2-econ-gast-cuentas:EconomicaGastos_TransferenciasDeCapital,lenloc2-econ-gast-cuentas:EconomicaGastos_ActivosFinancieros,lenloc2-econ-gast-cuentas:EconomicaGastos_PasivosFinancieros
L_PR,151,Urbanismo,lenloc2-prog-cuentas:Urbanismo,lenloc2-econ-gast-cuentas:GastosDePersonal,lenloc2-econ-gast-cuentas:GastosCorrientesEnBienesYServicios,lenloc2-econ-gast-cuentas:GastosFinancieros,lenloc2-econ-gast-cuentas:TransferenciasCorrientes,lenloc2-econ-gast-cuentas:InversionesReales,lenloc2-econ-gast-cuentas:EconomicaGastos_TransferenciasDeCapital,lenloc2-econ-gast-cuentas:EconomicaGastos_ActivosFinancieros,lenloc2-econ-gast-cuentas:EconomicaGastos_PasivosFinancieros
L_PR,152,Vivienda,lenloc2-prog-cuentas:Vivienda,lenloc2-econ-gast-cuentas:GastosDePersonal,lenloc2-econ-gast-cuentas:GastosCorrientesEnBienesYServicios,lenloc2-econ-gast-cuentas:GastosFinancieros,lenloc2-econ-gast-cuentas:TransferenciasCorrientes,lenloc2-econ-gast-cuentas:InversionesReales,lenloc2-econ-gast-cuentas:EconomicaGastos_TransferenciasDeCapital,lenloc2-econ-gast-cuentas:EconomicaGastos_ActivosFinancieros,lenloc2-econ-gast-cuentas:EconomicaGastos_PasivosFinancieros
L_PR,153,Acceso a la vivienda,lenloc2-prog-cuentas:AccesoALaVivienda,lenloc2-econ-gast-cuentas:GastosDePersonal,lenloc2-econ-gast-cuentas:GastosCorrientesEnBienesYServicios,lenloc2-econ-gast-cuentas:GastosFinancieros,lenloc2-econ-gast-cuentas:TransferenciasCorrientes,lenloc2-econ-gast-cuentas:InversionesReales,lenloc2-econ-gast-cuentas:EconomicaGastos_TransferenciasDeCapital,lenloc2-econ-gast-cuentas:EconomicaGastos_ActivosFinancieros,lenloc2-econ-gast-cuentas:EconomicaGastos_PasivosFinancieros
L_PR,154,Fomento de la edificación protegida,lenloc2-prog-cuentas:FomentoDeLaEdificacionProtegida,lenloc2-econ-gast-cuentas:GastosDePersonal,lenloc2-econ-gast-cuentas:GastosCorrientesEnBienesYServicios,lenloc2-econ-gast-cuentas:GastosFinancieros,lenloc2-econ-gast-cuentas:TransferenciasCorrientes,lenloc2-econ-gast-cuentas:InversionesReales,lenloc2-econ-gast-cuentas:EconomicaGastos_TransferenciasDeCapital,lenloc2-econ-gast-cuentas:EconomicaGastos_ActivosFinancieros,lenloc2-econ-gast-cuentas:EconomicaGastos_PasivosFinancieros
L_PR,155,Vías públicas,lenloc2-prog-cuentas:ViasPublicas,lenloc2-econ-gast-cuentas:GastosDePersonal,lenloc2-econ-gast-cuentas:GastosCorrientesEnBienesYServicios,lenloc2-econ-gast-cuentas:GastosFinancieros,lenloc2-econ-gast-cuentas:TransferenciasCorrientes,lenloc2-econ-gast-cuentas:InversionesReales,lenloc2-econ-gast-cuentas:EconomicaGastos_TransferenciasDeCapital,lenloc2-econ-gast-cuentas:EconomicaGastos_ActivosFinancieros,lenloc2-econ-gast-cuentas:EconomicaGastos_PasivosFinancieros
L_PR,16,Bienestar comunitario,lenloc2-prog-cuentas:BienestarComunitario,lenloc2-econ-gast-cuentas:GastosDePersonal,lenloc2-econ-gast-cuentas:GastosCorrientesEnBienesYServicios,lenloc2-econ-gast-cuentas:GastosFinancieros,lenloc2-econ-gast-cuentas:TransferenciasCorrientes,lenloc2-econ-gast-cuentas:InversionesReales,lenloc2-econ-gast-cuentas:EconomicaGastos_TransferenciasDeCapital,lenloc2-econ-gast-cuentas:EconomicaGastos_ActivosFinancieros,lenloc2-econ-gast-cuentas:EconomicaGastos_PasivosFinancieros
L_PR,161,"Saneamiento, abastecimiento y distribución de aguas.",lenloc2-prog-cuentas:SaneamientoAbastecimientoYDistribucionDeAguas,lenloc2-econ-gast-cuentas:GastosDePersonal,lenloc2-econ-gast-cuentas:GastosCorrientesEnBienesYServicios,lenloc2-econ-gast-cuentas:GastosFinancieros,lenloc2-econ-gast-cuentas:TransferenciasCorrientes,lenloc2-econ-gast-cuentas:InversionesReales,lenloc2-econ-gast-cuentas:EconomicaGastos_TransferenciasDeCapital,lenloc2-econ-gast-cuentas:EconomicaGastos_ActivosFinancieros,lenloc2-econ-gast-cuentas:EconomicaGastos_PasivosFinancieros
L_PR,162,"Recogida, eliminación y tratamiento de residuos.",lenloc2-prog-cuentas:RecogidaEliminacionYTratamientoDeResiduos,lenloc2-econ-gast-cuentas:GastosDePersonal,lenloc2-econ-gast-cuentas:GastosCorrientesEnBienesYServicios,lenloc2-econ-gast-cuentas:GastosFinancieros,lenloc2-econ-gast-cuentas:TransferenciasCorrientes,lenloc2-econ-gast-cuentas:InversionesReales,lenloc2-econ-gast-cuentas:EconomicaGastos_TransferenciasDeCapital,lenloc2-econ-gast-cuentas:EconomicaGastos_ActivosFinancieros,lenloc2-econ-gast-cuentas:EconomicaGastos_PasivosFinancieros
L_PR,163,Limpieza viaria.,lenloc2-prog-cuentas:LimpiezaViaria,lenloc2-econ-gast-cuentas:GastosDePersonal,lenloc2-econ-gast-cuentas:GastosCorrientesEnBienesYServicios,lenloc2-econ-gast-cuentas:GastosFinancieros,lenloc2-econ-gast-cuentas:TransferenciasCorrientes,lenloc2-econ-gast-cuentas:InversionesReales,lenloc2-econ-gast-cuentas:EconomicaGastos_TransferenciasDeCapital,lenloc2-econ-gast-cuentas:EconomicaGastos_ActivosFinancieros,lenloc2-econ-gast-cuentas:EconomicaGastos_PasivosFinancieros
