pre,id,Cuenta,Lenloc_Label,Lenloc_context0,Lenloc_context1,Lenloc_context2,Lenloc_context3,Lenloc_context4
L_G,1,GASTOS DE PERSONAL,lenloc3-econ-gast-cuentas:GastosDePersonal,lenloc3-econ-gast-importes:CreditosDefinitivosDelEjercicioCorriente,lenloc3-econ-gast-importes:ObligacionesReconocidasDelEjercicioCorriente,lenloc3-econ-gast-importes:PagosRealizadosDelEjercicioCorriente,lenloc3-econ-gast-importes:PagosLiquidosDeEjerciciosCerrados,lenloc3-econ-gast-importes:CreditosInicialesDelEjercicioCorriente
L_G,10,Órganos de gobierno y personal directivo,lenloc3-econ-gast-cuentas:OrganosDeGobiernoYPersonalDirectivo,lenloc3-econ-gast-importes:CreditosDefinitivosDelEjercicioCorriente,lenloc3-econ-gast-importes:ObligacionesReconocidasDelEjercicioCorriente,lenloc3-econ-gast-importes:PagosRealizadosDelEjercicioCorriente,lenloc3-econ-gast-importes:PagosLiquidosDeEjerciciosCerrados,lenloc3-econ-gast-importes:CreditosInicialesDelEjercicioCorriente
L_G,100,Retribuciones básicas y otras remuneraciones de los miembros de los órganos de gobierno,lenloc3-econ-gast-cuentas:RetribucionesBasicasYOtrasRemuneracionesDeLosMiembrosDeLosOrganosDeGobierno,lenloc3-econ-gast-importes:CreditosDefinitivosDelEjercicioCorriente,lenloc3-econ-gast-importes:ObligacionesReconocidasDelEjercicioCorriente,lenloc3-econ-gast-importes:PagosRealizadosDelEjercicioCorriente,lenloc3-econ-gast-importes:PagosLiquidosDeEjerciciosCerrados,lenloc3-econ-gast-importes:CreditosInicialesDelEjercicioCorriente
L_G,100.00,Retribuciones básicas,lenloc3-econ-gast-cuentas:OrganosDeGobiernoYPersonalDirectivo_RetribucionesBasicasYOtrasRemuneracionesDeLosMiembrosDeLosOrganosDeGobierno_RetribucionesBasicas,lenloc3-econ-gast-importes:CreditosDefinitivosDelEjercicioCorriente,lenloc3-econ-gast-importes:ObligacionesReconocidasDelEjercicioCorriente,lenloc3-econ-gast-importes:PagosRealizadosDelEjercicioCorriente,lenloc3-econ-gast-importes:PagosLiquidosDeEjerciciosCerrados,lenloc3-econ-gast-importes:CreditosInicialesDelEjercicioCorriente
L_G,100.01,Otras remuneraciones,lenloc3-econ-gast-cuentas:OrganosDeGobiernoYPersonalDirectivo_RetribucionesBasicasYOtrasRemuneracionesDeLosMiembrosDeLosOrganosDeGobierno_OtrasRemuneraciones,lenloc3-econ-gast-importes:CreditosDefinitivosDelEjercicioCorriente,lenloc3-econ-gast-importes:ObligacionesReconocidasDelEjercicioCorriente,lenloc3-econ-gast-importes:PagosRealizadosDelEjercicioCorriente,lenloc3-econ-gast-importes:PagosLiquidosDeEjerciciosCerrados,lenloc3-econ-gast-importes:CreditosInicialesDelEjercicioCorriente
L_G,101,Retribuciones básicas y otras remuneraciones del personal directivo,lenloc3-econ-gast-cuentas:RetribucionesBasicasYOtrasRemuneracionesDelPersonalDirectivo,lenloc3-econ-gast-importes:CreditosDefinitivosDelEjercicioCorriente,lenloc3-econ-gast-importes:ObligacionesReconocidasDelEjercicioCorriente,lenloc3-econ-gast-importes:PagosRealizadosDelEjercicioCorriente,lenloc3-econ-gast-importes:PagosLiquidosDeEjerciciosCerrados,lenloc3-econ-gast-importes:CreditosInicialesDelEjercicioCorriente
L_G,101.00,Retribuciones básicas,lenloc3-econ-gast-cuentas:OrganosDeGobiernoYPersonalDirectivo_RetribucionesBasicasYOtrasRemuneracionesDelPersonalDirectivo_RetribucionesBasicas,lenloc3-econ-gast-importes:CreditosDefinitivosDelEjercicioCorriente,lenloc3-econ-gast-importes:ObligacionesReconocidasDelEjercicioCorriente,lenloc3-econ-gast-importes:PagosRealizadosDelEjercicioCorriente,lenloc3-econ-gast-importes:PagosLiquidosDeEjerciciosCerrados,lenloc3-econ-gast-importes:CreditosInicialesDelEjercicioCorriente
L_G,101.01,Otras remuneraciones,lenloc3-econ-gast-cuentas:OrganosDeGobiernoYPersonalDirectivo_RetribucionesBasicasYOtrasRemuneracionesDelPersonalDirectivo_OtrasRemuneraciones,lenloc3-econ-gast-importes:CreditosDefinitivosDelEjercicioCorriente,lenloc3-econ-gast-importes:ObligacionesReconocidasDelEjercicioCorriente,lenloc3-econ-gast-importes:PagosRealizadosDelEjercicioCorriente,lenloc3-econ-gast-importes:PagosLiquidosDeEjerciciosCerrados,lenloc3-econ-gast-importes:CreditosInicialesDelEjercicioCorriente
L_G,107,Contribuciones a planes y fondos de pensiones,lenloc3-econ-gast-cuentas:OrganosDeGobiernoYPersonalDirectivo_ContribucionesAPlanesYFondosDePensiones,lenloc3-econ-gast-importes:CreditosDefinitivosDelEjercicioCorriente,lenloc3-econ-gast-importes:ObligacionesReconocidasDelEjercicioCorriente,lenloc3-econ-gast-importes:PagosRealizadosDelEjercicioCorriente,lenloc3-econ-gast-importes:PagosLiquidosDeEjerciciosCerrados,lenloc3-econ-gast-importes:CreditosInicialesDelEjercicioCorriente
L_G,107.00,De los miembros de los órganos de gobierno,lenloc3-econ-gast-cuentas:GastosDePersonal_OrganosDeGobiernoYPersonalDirectivo_ContribucionesAPlanesYFondosDePensiones_DeLosMiembrosDeLosOrganosDeGobierno,lenloc3-econ-gast-importes:CreditosDefinitivosDelEjercicioCorriente,lenloc3-econ-gast-importes:ObligacionesReconocidasDelEjercicioCorriente,lenloc3-econ-gast-importes:PagosRealizadosDelEjercicioCorriente,lenloc3-econ-gast-importes:PagosLiquidosDeEjerciciosCerrados,lenloc3-econ-gast-importes:CreditosInicialesDelEjercicioCorriente
