pre,id,Cuenta,Penloc_Label,Penloc_context0
P_I,1,IMPUESTOS DIRECTOS,penloc2-econ-ingr-cuentas:ImpuestosDirectos,penloc2-econ-ingr-importes:PrevisionInicial
P_I,10,Impuesto sobre la Renta,penloc2-econ-ingr-cuentas:ImpuestoSobreLaRenta,penloc2-econ-ingr-importes:PrevisionInicial
P_I,100,Impuestos sobre la Renta de las Personas Físicas,penloc2-econ-ingr-cuentas:ImpuestosSobreLaRentaDeLasPersonasFisicas,penloc2-econ-ingr-importes:PrevisionInicial
P_I,101,Impuesto sobre Sociedades,penloc2-econ-ingr-cuentas:ImpuestoSobreSociedades,penloc2-econ-ingr-importes:PrevisionInicial
P_I,102,Impuesto sobre la Renta de No Residentes,penloc2-econ-ingr-cuentas:ImpuestoSobreLaRentaDeNoResidentes,penloc2-econ-ingr-importes:PrevisionInicial
P_I,11,Impuestos sobre el capital,penloc2-econ-ingr-cuentas:ImpuestosSobreElCapital,penloc2-econ-ingr-importes:PrevisionInicial
P_I,110,Impuesto sobre Sucesiones y Donaciones,penloc2-econ-ingr-cuentas:ImpuestoSobreSucesionesYDonaciones,penloc2-econ-ingr-importes:PrevisionInicial
P_I,111,Impuesto sobre Patrimonio,penloc2-econ-ingr-cuentas:ImpuestoSobrePatrimonio,penloc2-econ-ingr-importes:PrevisionInicial
P_I,112,Impuesto sobre Bienes Inmuebles. Bienes Inmubles de Naturaleza Rústica.,penloc2-econ-ingr-cuentas:ImpuestoSobreBienesInmueblesBienesInmublesDeNaturalezaRustica,penloc2-econ-ingr-importes:PrevisionInicial
P_I,113,Impuesto sobre Bienes Inmuebles. Bienes inmuebles de Naturaleza Urbana.,penloc2-econ-ingr-cuentas:ImpuestoSobreBienesInmueblesBienesInmueblesDeNaturalezaUrbana,penloc2-econ-ingr-importes:PrevisionInicial
P_I,114,Impuesto sobre Bienes Inmuebles. Bienes Inmuebles de características especiales.,penloc2-econ-ingr-cuentas:ImpuestoSobreBienesInmueblesBienesInmueblesDeCaracteristicasEspeciales,penloc2-econ-ingr-importes:PrevisionInicial
P_I,115,Impuesto sobre Vehículos de Tracción Mecánica,penloc2-econ-ingr-cuentas:ImpuestoSobreVehiculosDeTraccionMecanica,penloc2-econ-ingr-importes:PrevisionInicial
P_I,116,Impuesto sobre Incremento del Valor de los Terrenos de Naturaleza Urbana,penloc2-econ-ingr-cuentas:ImpuestoSobreIncrementoDelValorDeLosTerrenosDeNaturalezaUrbana,penloc2-econ-ingr-importes:PrevisionInicial
P_I,117,Impuesto sobre viviendas desocupadas,penloc2-econ-ingr-cuentas:ImpuestoSobreViviendasDesocupadas,penloc2-econ-ingr-importes:PrevisionInicial
P_I,13,Impuesto sobre las Actividades Económicas,penloc2-econ-ingr-cuentas:ImpuestoSobreLasActividadesEconomicas,penloc2-econ-ingr-importes:PrevisionInicial
P_I,130,Impuesto sobre Actividades Económicas,penloc2-econ-ingr-cuentas:ImpuestoSobreActividadesEconomicas,penloc2-econ-ingr-importes:PrevisionInicial
P_I,16,Recargos sobre impuestos directos del Estado y de la Comunidad Autónoma,penloc2-econ-ingr-cuentas:RecargosSobreImpuestosDirectosDelEstadoYDeLaComunidadAutonoma,penloc2-econ-ingr-importes:PrevisionInicial
P_I,160,Sobre impuestos del Estado,penloc2-econ-ingr-cuentas:ImpuestosDirectos_RecargosSobreImpuestosDirectosDelEstadoYDeLaComunidadAutonoma_SobreImpuestosDelEstado,penloc2-econ-ingr-importes:PrevisionInicial
P_I,161,Sobre impuestos de la Comunidad Autónoma,penloc2-econ-ingr-cuentas:ImpuestosDirectos_RecargosSobreImpuestosDirectosDelEstadoYDeLaComunidadAutonoma_SobreImpuestosDeLaComunidadAutonoma,penloc2-econ-ingr-importes:PrevisionInicial
P_I,17,Recargos sobre impuestos directos de otros entes locales,penloc2-econ-ingr-cuentas:RecargosSobreImpuestosDirectosDeOtrosEntesLocales,penloc2-econ-ingr-importes:PrevisionInicial
P_I,170,En el Impuesto sobre Bienes Inmuebles,penloc2-econ-ingr-cuentas:EnElImpuestoSobreBienesInmuebles,penloc2-econ-ingr-importes:PrevisionInicial
P_I,171,Recargo provincial en el Impuesto sobre Actividades Económicas,penloc2-econ-ingr-cuentas:RecargoProvincialEnElImpuestoSobreActividadesEconomicas,penloc2-econ-ingr-importes:PrevisionInicial
P_I,179,Otros recargos sobre impuestos directos de otros entes locales,penloc2-econ-ingr-cuentas:OtrosRecargosSobreImpuestosDirectosDeOtrosEntesLocales,penloc2-econ-ingr-importes:PrevisionInicial
