pre,id,Cuenta,Penloc_Label,Penloc_context0
P_G,1,GASTOS DE PERSONAL,penloc2-econ-gast-cuentas:GastosDePersonal,penloc2-econ-gast-importes:PrevisionInicial
P_G,10,Órganos de gobierno y personal directivo,penloc2-econ-gast-cuentas:OrganosDeGobiernoYPersonalDirectivo,penloc2-econ-gast-importes:PrevisionInicial
P_G,100,Retribuciones básicas y otras remuneraciones de los miembros de los órganos de gobierno,penloc2-econ-gast-cuentas:RetribucionesBasicasYOtrasRemuneracionesDeLosMiembrosDeLosOrganosDeGobierno,penloc2-econ-gast-importes:PrevisionInicial
P_G,100.00,Retribuciones básicas,penloc2-econ-gast-cuentas:OrganosDeGobiernoYPersonalDirectivo_RetribucionesBasicasYOtrasRemuneracionesDeLosMiembrosDeLosOrganosDeGobierno_RetribucionesBasicas,penloc2-econ-gast-importes:PrevisionInicial
P_G,100.01,Otras remuneraciones,penloc2-econ-gast-cuentas:OrganosDeGobiernoYPersonalDirectivo_RetribucionesBasicasYOtrasRemuneracionesDeLosMiembrosDeLosOrganosDeGobierno_OtrasRemuneraciones,penloc2-econ-gast-importes:PrevisionInicial
P_G,101,Retribuciones básicas y otras remuneraciones del personal directivo,penloc2-econ-gast-cuentas:RetribucionesBasicasYOtrasRemuneracionesDelPersonalDirectivo,penloc2-econ-gast-importes:PrevisionInicial
P_G,101.00,Retribuciones básicas,penloc2-econ-gast-cuentas:OrganosDeGobiernoYPersonalDirectivo_RetribucionesBasicasYOtrasRemuneracionesDelPersonalDirectivo_RetribucionesBasicas,penloc2-econ-gast-importes:PrevisionInicial
P_G,101.01,Otras remuneraciones,penloc2-econ-gast-cuentas:OrganosDeGobiernoYPersonalDirectivo_RetribucionesBasicasYOtrasRemuneracionesDelPersonalDirectivo_OtrasRemuneraciones,penloc2-econ-gast-importes:PrevisionInicial
P_G,107,Contribuciones a planes y fondos de pensiones,penloc2-econ-gast-cuentas:OrganosDeGobiernoYPersonalDirectivo_ContribucionesAPlanesYFondosDePensiones,penloc2-econ-gast-importes:PrevisionInicial
P_G,107.00,De los miembros de los órganos de gobierno,penloc2-econ-gast-cuentas:GastosDePersonal_OrganosDeGobiernoYPersonalDirectivo_ContribucionesAPlanesYFondosDePensiones_DeLosMiembrosDeLosOrganosDeGobierno,penloc2-econ-gast-importes:PrevisionInicial
